d,tp,b_mla,QKV(us),ATTN(us),O(us),Shared(us),Up_Gemm(us),Down_Gemm(us),Dispatch_AlltoAll(us),Combine_AlltoAll(us),AllReduce(us),t_{dense_layer}(us),t_{moe_layer}(us),TPOT(ms),Single-Device Throughput(Tokens/s)
72,2,8,32,61,35,31,65,36,5,10,5,530,530,32,250
72,2,16,32,111,35,31,65,36,10,21,5,630,630,38,421
72,2,32,31,202,36,31,65,36,21,43,5,812,812,49,653
72,2,64,32,385,38,31,66,36,43,87,5,1186,1186,72,888
72,2,128,49,743,68,50,120,66,87,175,9,2210,2210,134,955
96,2,8,32,61,35,31,49,29,5,10,5,484,484,29,275
96,2,16,32,111,35,31,50,29,10,21,5,586,586,35,457
96,2,32,31,202,36,31,50,29,21,43,5,768,768,46,695
96,2,64,32,385,38,31,88,50,43,87,5,1258,1258,76,842
96,2,128,49,743,68,50,177,91,87,175,9,2374,2374,144,888
144,2,8,32,61,35,31,34,20,5,10,5,436,436,26,307
144,2,16,32,111,35,31,34,20,10,21,5,536,536,32,500
144,2,32,31,202,36,31,34,21,21,43,5,720,720,43,744
144,2,64,32,385,38,31,62,34,43,87,5,1174,1174,71,901
144,2,128,49,743,68,50,120,65,87,175,9,2208,2208,134,955
288,2,8,32,61,35,31,20,11,5,10,5,390,390,23,347
288,2,16,32,111,35,31,20,11,10,21,5,490,490,29,551
288,2,32,31,202,36,31,33,18,21,43,5,712,712,43,744
288,2,64,32,385,38,31,61,33,43,87,5,1170,1170,71,901
288,2,128,49,743,68,50,119,65,87,175,9,2206,2206,134,955
16,4,32,24,208,21,31,278,145,5,5,5,1424,1424,86,186
16,4,64,25,411,22,31,278,145,5,5,7,1838,1838,112,285
24,4,16,25,138,21,31,176,101,5,5,5,994,994,60,133
24,4,32,24,208,21,31,176,101,5,5,5,1132,1132,69,231
24,4,64,25,411,22,31,176,102,5,10,7,1548,1548,94,340
32,4,16,25,138,21,31,141,76,5,5,5,874,874,53,150
32,4,32,24,208,21,31,141,76,5,8,5,1012,1012,61,262
32,4,64,25,411,22,31,142,76,8,16,7,1428,1428,87,367
48,4,8,24,76,21,31,96,52,5,5,5,610,610,37,108
48,4,16,25,138,21,31,96,52,5,6,5,736,736,44,181
48,4,32,24,208,21,31,96,52,6,13,5,874,874,53,301
48,4,64,25,411,22,31,96,52,13,27,7,1288,1288,78,410
48,4,128,37,740,36,50,96,52,27,54,14,2050,2050,125,512
72,4,8,24,76,21,31,65,36,5,5,5,516,516,31,129
72,4,16,25,138,21,31,65,36,5,10,5,642,642,39,205
72,4,32,24,208,21,31,65,36,10,21,5,780,780,47,340
72,4,64,25,411,22,31,65,36,21,43,7,1194,1194,72,444
72,4,128,37,740,36,50,65,36,43,87,14,1956,1956,119,537
96,4,8,24,76,21,31,49,29,5,5,5,470,470,28,142
96,4,16,25,138,21,31,49,29,5,10,5,596,596,36,222
96,4,32,24,208,21,31,50,29,10,21,5,736,736,44,363
96,4,64,25,411,22,31,50,29,21,43,7,1150,1150,70,457
96,4,128,37,740,36,50,87,50,43,87,14,2028,2028,123,520
144,4,8,24,76,21,31,34,20,5,5,5,422,422,25,160
144,4,16,25,138,21,31,34,20,5,10,5,548,548,33,242
144,4,32,24,208,21,31,34,20,10,21,5,686,686,41,390
144,4,64,25,411,22,31,34,21,21,43,7,1102,1102,67,477
144,4,128,37,740,36,50,62,34,43,87,14,1946,1946,118,542
288,4,8,24,76,21,31,20,11,5,5,5,376,376,22,181
288,4,16,25,138,21,31,20,11,5,10,5,502,502,30,266
288,4,32,24,208,21,31,20,11,10,21,5,640,640,39,410
288,4,64,25,411,22,31,33,18,21,43,7,1094,1094,66,484
288,4,128,37,740,36,50,61,33,43,87,14,1942,1942,118,542
16,8,64,21,371,13,31,278,145,5,5,8,1734,1734,105,152
24,8,32,21,190,13,31,176,101,5,5,5,1074,1074,65,123
24,8,64,21,371,13,31,176,102,5,5,8,1444,1444,88,181
32,8,32,21,190,13,31,141,76,5,5,5,954,954,58,137
32,8,64,21,371,13,31,141,76,5,8,8,1322,1322,80,200
48,8,16,22,122,13,31,96,52,5,5,5,682,682,41,97
48,8,32,21,190,13,31,96,52,5,6,5,816,816,49,163
48,8,64,21,371,13,31,96,52,6,13,8,1184,1184,72,222
48,8,128,30,755,21,50,96,52,13,27,16,2040,2040,124,258
72,8,16,22,122,13,31,65,36,5,5,5,588,588,35,114
72,8,32,21,190,13,31,65,36,5,10,5,722,722,44,181
72,8,64,21,371,13,31,65,36,10,21,8,1090,1090,66,242
72,8,128,30,755,21,50,65,36,21,43,16,1946,1946,118,271
96,8,8,22,54,13,31,49,29,5,5,5,406,406,24,83
96,8,16,22,122,13,31,49,29,5,5,5,542,542,33,121
96,8,32,21,190,13,31,49,29,5,10,5,676,676,41,195
96,8,64,21,371,13,31,50,29,10,21,8,1046,1046,63,253
96,8,128,30,755,21,50,50,29,21,43,16,1902,1902,116,275
144,8,8,22,54,13,31,34,20,5,5,5,358,358,21,95
144,8,16,22,122,13,31,34,20,5,5,5,494,494,30,133
144,8,32,21,190,13,31,34,20,5,10,5,628,628,38,210
144,8,64,21,371,13,31,34,20,10,21,8,996,996,60,266
144,8,128,30,755,21,50,34,21,21,43,16,1854,1854,113,283
288,8,8,22,54,13,31,20,11,5,5,5,312,312,19,105
288,8,16,22,122,13,31,20,11,5,5,5,448,448,27,148
288,8,32,21,190,13,31,20,11,5,10,5,582,582,35,228
288,8,64,21,371,13,31,20,11,10,21,8,950,950,57,280
288,8,128,30,755,21,50,33,18,21,43,16,1846,1846,112,285
